time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2006-09-01 00:00:00,12.8,6.6,66.0,0.0,,,0.0,,1015.9,,
2006-09-01 01:00:00,14.4,3.8,49.0,0.0,,220.0,7.6,,1015.9,,
2006-09-01 02:00:00,12.8,2.1,48.0,0.0,,230.0,11.2,,1016.0,,
2006-09-01 03:00:00,9.4,2.7,63.0,0.0,,,0.0,,1017.5,,
2006-09-01 04:00:00,5.0,1.1,76.0,0.0,,130.0,9.4,,1018.7,,
2006-09-01 05:00:00,5.6,1.1,73.0,0.0,,,0.0,,1019.4,,
2006-09-01 06:00:00,5.0,2.2,82.0,0.0,,,0.0,,1019.8,,
2006-09-01 07:00:00,5.6,2.2,79.0,0.0,,80.0,7.6,,1021.0,,
2006-09-01 08:00:00,7.8,3.8,76.0,0.0,,60.0,9.4,,1021.9,,
2006-09-01 09:00:00,12.2,1.8,49.0,0.0,,,0.0,,1021.2,,
2006-09-01 10:00:00,15.0,1.8,41.0,0.0,,,0.0,,1020.6,,
2006-09-01 11:00:00,18.9,0.9,30.0,0.0,,,5.4,,1020.5,,
2006-09-01 12:00:00,20.6,0.9,27.0,0.0,,,,,1020.5,,
2006-09-01 13:00:00,23.3,-4.8,15.0,0.0,,,5.4,,1019.2,,
2006-09-01 14:00:00,23.9,-5.2,14.0,0.0,,310.0,13.0,,1019.0,,
2006-09-01 15:00:00,25.0,-5.3,13.0,0.0,,,,,1018.9,,
2006-09-01 16:00:00,25.0,-5.3,13.0,0.0,,350.0,13.0,,1019.4,,
2006-09-01 17:00:00,25.0,-5.3,13.0,0.0,,360.0,22.3,,1018.9,,
2006-09-01 18:00:00,23.9,-6.2,13.0,0.0,,10.0,16.6,,1019.4,,
2006-09-01 19:00:00,22.8,-7.1,13.0,0.0,,340.0,13.0,,1019.6,,
2006-09-01 20:00:00,16.1,-4.5,24.0,0.0,,,0.0,,1020.7,,
2006-09-01 21:00:00,16.1,-6.9,20.0,0.0,,,,,1020.4,,
2006-09-01 22:00:00,11.1,-5.0,32.0,0.0,,,0.0,,1021.7,,
2006-09-01 23:00:00,8.3,-3.3,44.0,0.0,,70.0,5.4,,1021.7,,
2006-09-02 00:00:00,7.2,-2.8,49.0,0.0,,80.0,5.4,,1021.9,,
2006-09-02 01:00:00,5.6,-2.3,57.0,0.0,,80.0,7.6,,1022.0,,
2006-09-02 02:00:00,3.3,-2.9,64.0,0.0,,,0.0,,1022.1,,
